edgenum,pointnum1,pointnum2,x_difference,y_difference
429,2523,2523D,10.348484848484816,3.848484848484844
430,2523,2523E,10.348484848484816,8.0
431,252,82,0.0,26.0
432,82,2526,22.814439033189046,0.07814314750288531
433,82,81,0.005952380952408021,4.172619047619037
434,81,2519,13.43592171717171,0.724431818181813
435,2519,2519A,6.241161616161605,14.835458240946053
436,2519,2519B,3.9267676767676676,13.085458240946053
437,2519,2519C,5.088383838383834,12.840909090909065
438,2519,2519D,4.751262626262644,12.995036572622752
439,2519,137,9.046221139971124,4.449179292929301
440,81,79,0.0,22.75
441,79,2520,36.32799796747969,2.6872459349593782
442,79,2517,16.024305555555543,2.9402947154471804
443,79,78,0.0,7.1597222222222285
444,78,2515,5.860164141414145,3.5346375338753546
445,78,77,0.0,14.756944444444443
446,77,2513,14.266729797979792,2.817835365853668
447,77,76,0.0,7.384259259259252
448,76,2511,6.185921717171709,0.8934338301716593
449,76,508,0.356199186991887,9.592592592592595
450,508,247,10.657689701897027,0.4166666666666714
451,247,2412,2.043614498645013,10.297735998193275
452,247,248,3.6587301587301795,0.0
453,248,2411,2.1391187572589843,15.952264001806725
454,248,249,21.609788359788354,0.0
455,249,2411A,1.2122572267389273,15.952264001806725
456,249,250,21.5,0.0
457,250,2411B,1.858598690153542,15.952264001806725
458,2411,2411A,20.682926829268297,0.0
459,2411A,2411B,22.146341463414615,0.0
460,250,507,14.318783068783034,0.4166666666666714
461,507,211,0.010912698412710142,16.588624338624335
462,211,2906,11.051744579945819,1.0530270034842815
463,2906,74,10.698255420054181,8.063939701896985
464,211,550,0.010912698412710142,16.098033910533914
465,550,232,0.010912698412710142,36.74720418470418
466,550,64,23.654761904761926,0.010732323232325314
467,64,2221,0.47346835075489935,12.121866531165338
468,2221,2221D,14.236788617886134,16.087398373983717
469,2221,2221A,10.84552845528458,16.725609756097583
470,2221A,2221B,14.666666666666686,3.8333333333333144
471,2221A,2221C,14.666666666666686,4.313008130081357
472,64,63,31.417658730158735,0.0
473,63,2223,1.864922086720867,20.09747628726292
474,63,72,18.275462962962933,0.0
475,72,2225,0.10961495031619961,20.53040311653116
476,72,75,9.306878306878275,0.0
477,550,65,14.434523809523796,0.0031565656565675226
478,65,2205,2.053977272727252,20.776221264367827
479,65,66,21.300925925925924,0.0
480,66,2203,0.6099537037036953,20.773347701149454
481,66,67,21.444444444444457,0.0
482,67,2201,0.14783249158250555,19.438577586206897
483,67,536,14.565097109304418,0.013888888888892836
484,536,86,0.350246806039479,12.006944444444446
485,86,2000,53.97354497354496,5.756944444444443
486,86,85,0.0,8.666666666666668
487,85,2501,12.501322751322732,4.909722222222221
488,85,518,0.350246806039479,12.584325396825395
489,518,84,2.9840785907858844,3.0823412698412698
490,536,34,0.0002822944896365698,11.170634920634917
491,34,2405,20.689814814814838,8.014550264550266
492,2405,2405A,9.958332999999982,20.67824074074074
493,2405,2405B,3.96875,20.67824074074074
494,34,508,0.0002822944896365698,21.505291005291006
495,508,246,14.184902890695582,0.4004629629629619
496,246,2410,3.2713594276094113,8.060890921409182
497,246,245,18.055555555555543,0.0
498,245,2408,1.1099537037036953,16.813446969696955
499,245,244,4.865740740740762,0.0
500,244,2405,16.416666666666686,13.891203703703702
501,244,243,14.410714285714278,0.0
502,243,2406,1.9084277003484544,10.382029132791288
503,2406,2102,0.0,28.08333333333337
504,2102,2101,26.682372505543242,16.580284552845512
505,2101,2404,4.753787878787875,38.57310914018228
506,243,242,22.47354497354496,0.0
507,242,2404,2.4533880471380485,16.47253787878789
508,242,1,2.8518518518518476,0.15972222222221433
509,1,2403,14.742063492063494,14.490740740740748
510,2403,2403A,0.3601187142857043,17.11689818148148
511,1,240,12.231481481481467,0.15972222222221433
512,240,2401A,0.306878306878275,10.833333333333329
513,240,2402,4.09490774074078,18.263888855555564
514,240,239,6.597883597883595,0.0
515,239,2402,2.5029758571428147,18.263888855555564
516,239,2401,1.5109126984127101,11.724537037037038
517,239,237,9.679894179894177,0.0
518,237,41,29.74768518518522,0.1666666666666714
519,41,1960B,10.211805555555571,10.81344696969694
520,41,560,5.584325396825392,0.2337962962962905
521,552,168,0.10811878952119969,6.254629629629619
522,168,2109,8.120054713804734,1.3986742424241925
523,168,169,0.05092592592592382,36.49404761904765
524,169,2105,8.315972222222229,0.4937935540069702
525,169,170,0.005952380952408021,17.500270562770538
526,170,2102,29.74176103368177,94.7000415742794
527,170,172,0.07142857142855519,15.001052188552194
528,172,2103,8.381448412698376,1.7324284511784356
529,172,182,0.0,14.331018518518533
530,182,2101A,8.381448412698376,5.527462121212125
531,182,529,0.09523809523813043,12.307870370370352
532,529,2101,3.2260551948052125,36.479815943992804
533,2101,2101A,5.250631313131294,43.26022419315103
534,529,174,15.742063492063494,0.11111111111111427
535,174,175,5.583333333333314,0.0
536,175,176,5.814814814814838,0.0023148148148095515
537,176,1960,13.392361111111086,37.93655303030306
538,176,177,8.365740740740733,0.0
539,177,1804,1.3036077235772439,10.23568766937666
540,177,178,8.078703703703695,0.0
541,178,1804,9.38231142728094,10.23568766937666
542,178,179,12.06481481481481,0.0
543,179,1802,4.869212962962962,10.30587121212119
544,179,504,5.517195767195773,0.10879629629630472
545,504,106,0.14021164021164623,12.557870370370352
546,504,1981,23.982804232804227,3.884259259259238
547,504,36,0.16567460317460814,10.101851851851876
548,36,1961,23.916666666666657,25.648148148148138
549,36,207,0.02546296296296191,4.507936507936506
550,207,1960,20.77430555555557,23.435560966810982
551,207,208,0.018518518518504834,39.001322751322746
552,208,1960,20.792824074074076,15.565761784511764
553,208,43,0.07407407407407618,15.98677248677248
554,43,1961,23.99768518518519,33.847883597883595
555,43,42,0.0,4.068783068783063
556,42,1960,20.71875,35.62131734006731
557,1960,1960A,9.675925925925924,42.601010101010075
558,1960,1960B,4.837962962962962,42.83333333333334
559,42,560,0.08465608465607488,18.259259259259267
560,560,38,2.1746031746031633,2.2407407407407334
561,38,1439,11.59259259259261,7.101851851851862
562,38,39,2.3293650793650613,16.615740740740748
563,39,1904,15.162698412698404,1.5787037037037024
564,1904,1904A,14.892361111111114,11.359953703703702
565,1904,1904B,16.871528111111132,0.150462996296298
566,39,1905,12.744708994708986,4.076388888888886
567,39,559,0.1666666666666572,24.21759259259259
568,559,25,5.746031746031747,0.18121693121693383
569,25,1260,11.768518518518533,11.153439153439152
570,25,23,7.601851851851848,0.0
571,23,1263,0.46759259259260944,11.66137566137566
572,23,1261,6.014550264550252,10.345238095238095
573,23,1265,11.224537037037038,10.828042328042326
574,23,24,6.141203703703724,0.0
575,24,1267,13.0,0.003968253968253066
576,559,26,0.15211640211640542,17.0
577,26,1903,7.896990740740733,3.980324077407408
578,26,27,0.0,7.750000000000001
579,560,44,10.672619047619037,0.24074074074074758
580,44,1440,2.5,11.157407407407405
581,44,45,7.826388888888886,0.0
582,45,1438,1.8442460317460245,10.342592592592581
583,45,1437,6.16567460317458,10.847222222222229
584,45,47,8.239087301587318,0.0
585,47,1435,0.06878306878306262,13.507936507936513
586,47,48,4.068783068783063,0.009259259259266628
587,48,1436,4.333333333333343,11.417989417989418
588,48,49,4.425925925925924,0.0
589,49,1432,3.2407407407407334,10.07870370370371
590,49,50,6.5,0.0
591,50,1433,3.56613756613757,13.498677248677247
592,50,51,12.849537037037038,0.0
593,51,1425,1.5023148148148096,12.337962962962962
594,1425,1425A,25.983796296296305,0.4270832999999996
595,51,52,3.224537037037038,0.0
596,52,1426,4.305555555555543,11.995370370370367
597,52,53,5.108796296296305,0.0
598,53,1420,2.7337962962962763,12.179894179894177
599,53,54,29.835648148148152,0.001322751322746285
600,54,1414,8.417989417989418,11.99404761904762
601,1414,1414A,16.65178604761904,0.1041666666666714
602,54,564,14.504121499548319,0.08234126984126533
603,559,22,6.846560846560834,0.18121693121693383
604,22,1207A,2.587962962962962,7.429894179894177
605,22,21,11.665343915343925,0.0
606,21,1258,6.517195767195773,8.505291005291006
607,21,19,8.056878306878303,0.0
608,19,1256,0.02546296296296191,13.67195767195767
609,19,20,6.597883597883595,0.0
610,20,1207,2.5965608465608625,7.429894179894177
611,1207,1207A,26.328703703703724,0.0
612,1207,1207B,14.953703370370391,11.452546296296298
613,1207,1207C,1.3587966296296088,11.452546296296298
614,1207,1207D,15.74421262962963,11.452546296296298
615,20,18,8.594246031746025,0.0
616,18,1254,3.442129629629619,14.916666666666671
617,18,17,5.572420634920661,0.0
618,17,1216,11.42063492063491,13.236772486772487
619,17,16,42.26190476190476,0.0
620,16,1203,16.59126984126985,6.753968253968253
621,1203,1203A,26.482638888888886,3.3472222222222214
