pointnum,type,x_position,y_position
516,corner,69.58796296296296,328.50189393939394
517,corner,52.09705284552845,319.6956300813008
518,corner,368.9395325203252,4.9226190476190474
523,corner,90.42428861788618,468.6712962962963
524,corner,47.267857142857146,468.6712962962963
525,corner,131.10119047619048,415.1143292682927
527,corner,80.18497474747475,385.34659090909093
528,corner,223.84095528455285,264.3348577235772
529,corner,289.42261904761904,162.78240740740742
531,corner,69.58522727272727,123.5324074074074
534,corner,111.60010162601625,69.67361111111111
536,corner,368.9395325203252,38.18055555555556
537,corner,69.58796296296296,388.0324074074074
538,corner,69.58796296296296,415.43055555555554
539,corner,220.33928571428572,414.75
540,corner,220.33928571428572,384.84027777777777
541,corner,289.6845238095238,384.84027777777777
542,corner,368.58396464646466,384.84027777777777
543,corner,362.9345238095238,384.84027777777777
547,corner,440.26785714285717,384.84027777777777
548,corner,440.26785714285717,337.1061991869919
549,corner,368.25694444444446,337.1061991869919
550,corner,440.6845238095238,38.16982323232323
551,corner,440.43981481481484,264.6712962962963
552,corner,289.4242886178862,264.6712962962963
553,corner,368.77314814814815,264.6712962962963
554,corner,105.83775252525253,83.18055555555556
556,corner,69.58522727272727,39.333333333333336
557,corner,81.41666666666667,39.333333333333336
558,corner,81.41666666666667,27.78240740740741
559,corner,228.26785714285714,27.78240740740741
560,corner,228.25595238095238,70.85648148148148
563,corner,69.58522727272727,66.75462962962963
564,corner,121.0005081300813,71.00694444444444
566,corner,69.58522727272727,83.18055555555556
567,entrance,48.1979167,335.520833
568,entrance,231.947917,415.677083
569,entrance,394.71875,336.458333
2501,room,356.087962962963,12.597222222222221
1203,room,155.26388888888889,20.84722222222222
1208,room,135.9398148148148,41.84027777777778
1436,room,201.78240740740742,82.50595238095238
1426,room,174.75462962962962,83.08333333333333
1420,room,162.6064814814815,83.26785714285714
1414,room,143.92261904761904,83.08333333333333
1004,room,106.02314814814815,63.9212962962963
1010,room,107.42129629629629,12.172619047619047
1003,room,58.851190476190474,64.50462962962963
1411,room,47.09722222222222,76.26388888888889
1409,room,35.532407407407405,68.08333333333333
1403,room,21.587962962962962,68.50694444444444
1412,room,39.589285714285715,103.61574074074075
1408,room,15.199074074074074,100.75595238095238
1161,room,91.91666666666667,104.18452380952381
1105,room,59.199074074074076,96.11574074074075
1103,room,59.0,110.92129629629629
1640,room,61.85648148148148,131.9345238095238
1162,restroom,81.93452380952381,130.25
1166,restroom,82.17361111111111,148.25
1620,room,49.601190476190474,135.75694444444446
1610,room,33.673611111111114,134.1712962962963
1608,room,14.506944444444445,139.34722222222223
1216,room,169.51388888888889,40.83796296296296
1660,room,107.51388888888889,123.60648148148148
1425,room,172.1712962962963,58.75
1254,room,189.94907407407408,42.517857142857146
2405,room,348.25,57.36574074074074
2000,room,314.61574074074076,20.416666666666668
2403,room,306.8392857142857,56.60648148148148
2401A,room,280.17261904761904,60.423611111111114
2401,room,271.75694444444446,59.532407407407405
1981,room,204.27314814814815,166.66666666666666
1961,room,204.17361111111111,127.0324074074074
1439,room,242.02314814814815,61.513888888888886
1904,room,243.26388888888889,50.4212962962963
1260,room,245.78240740740742,38.754629629629626
1267,room,260.75694444444446,27.59722222222222
1265,restroom,252.84027777777777,16.77314814814815
1261,restroom,235.60119047619048,17.25595238095238
1263,room,242.08333333333334,15.939814814814815
1437,room,215.92261904761904,60.25
1435,room,201.44907407407408,57.589285714285715
1440,room,220.08333333333334,82.25462962962963
1438,room,211.60119047619048,81.43981481481481
1905,room,215.3564814814815,47.923611111111114
1258,room,216.27314814814815,36.10648148148148
1207A,room,218.83333333333334,20.171296296296298
1207,room,192.50462962962962,20.171296296296298
1256,room,201.67361111111111,41.273148148148145
1433,room,190.08928571428572,57.589285714285715
1432,room,189.78240740740742,81.16666666666667
3930,room,451.46875,374.3020833333333
3517B,room,357.7466971544716,327.88795731707313
3517A,room,339.8300304878049,327.666412601626
3407A,room,300.8097052845528,325.82494918699183
4208A,room,279.97695707070704,313.15498737373736
4906A,room,240.21938131313132,351.72064393939394
3420A,room,389.2202743902439,373.5708841463414
3432A,room,426.9763719512195,376.811737804878
2933A,room,401.81281565656565,161.30271464646464
2933B,room,432.8873106060606,155.57494918699186
2927A,room,410.7383207070707,145.31275406504062
2221A,room,475.6582825203252,9.333079268292636
2221B,room,460.9916158536585,5.499745934959321
2221C,room,460.9916158536585,13.646087398373993
2221D,room,450.5759654471545,9.971290650406502
2101A,room,297.89930555555554,169.56281565656565
1802,room,238.64236111111111,172.9794823232323
2943,room,423.3166035353535,209.47129065040647
2543,room,385.311553030303,185.63795731707316
2541,room,383.5666035353535,178.14202235772356
2939,room,427.1448863636364,185.32901422764226
2937,room,426.88983585858585,177.9875508130081
2540,room,405.05650252525254,177.05868902439022
3518B,room,396.7263719512195,314.1623475609756
2530,room,380.64867424242425,161.63900862068962
2927,room,421.63983585858585,137.74568089430892
2526,room,391.40372474747477,136.75076219512192
2105,room,297.89930555555554,222.416412601626
2103,room,297.89930555555554,191.15372474747474
2525,room,351.65498737373736,207.2244318181818
1804,room,255.2202743902439,172.90929878048777
2933,room,426.40498737373736,163.4834857723577
2545,room,388.72569444444446,209.7294207317073
3518C,room,398.0800304878049,301.4916158536585
3518A,room,379.7263719512195,300.9997459349593
1960B,room,244.05208333333334,81.90372474747471
1960,room,248.8900462962963,124.73705808080805
2410,room,351.4832702020202,79.31783536585363
2511,room,362.3974116161616,79.55564024390242
2515,room,362.72316919191917,99.05564024390242
2513,restroom,354.3166035353535,90.651168699187
2517,restroom,352.55902777777777,106.80970528455282
2406,room,319.3310467479675,81.63897357723573
2408,room,337.80902777777777,88.0703914141414
2404,room,297.4024621212121,87.72948232323233
2102A,room,342.2332702020202,126.30259146341461
2101,room,292.64867424242425,126.30259146341461
2102,room,319.3310467479675,109.7223069105691
2519A,room,361.3885732323232,118.38897357723576
2519B,room,351.22064393939394,120.13897357723576
2519,room,355.1474116161616,133.2244318181818
2519C,room,350.05902777777777,146.06534090909088
3516A,room,378.000762195122,274.4794207317073
3515C,room,350.5719004065041,287.2375508130081
3515A,room,334.7243394308943,274.4692581300813
3515B,room,334.8320630081301,285.6603150406504
4403B,room,233.64993686868686,329.7395833333333
4403A,room,233.72569444444446,322.4143800813008
3516B,room,397.6674288617886,294.57494918699183
2109,room,297.6524621212121,259.8153409090909
2523E,room,341.30650252525254,179.7193813131313
2523D,room,341.30650252525254,175.56786616161614
2523C,room,341.3948863636364,171.7193813131313
2523B,room,347.22316919191917,157.22190656565655
2523A,room,360.3140782828283,157.06281565656565
2519D,room,359.89867424242425,146.21946839080456
2523,room,351.65498737373736,171.7193813131313
1960A,room,258.56597222222223,82.13604797979798
3211,room,405.05650252525254,246.22129065040647
3201,room,321.3974116161616,245.9744318181818
3917,room,420.3300304878049,308.896087398374
3518,room,383.0556402439024,316.0708841463414
3204,room,319.6471036585366,286.3889735772358
3202,room,304.3300304878049,286.32596544715443
3517,room,346.9702743902439,308.2477134146341
3407,room,311.5840955284553,317.63795731707313
4207,room,279.8056752873563,244.8042385057471
4201,room,248.74189814814815,245.14614898989896
4202,room,238.75076219512195,276.4743394308943
4208,room,269.0678353658536,295.2365345528455
4204,room,238.72064393939394,307.0525914634146
4407,restroom,279.97695707070704,326.4832702020202
4403,room,245.3974116161616,326.40625
4906,room,240.21938131313132,371.73579545454544
4401,room,227.5653409090909,326.8065025252525
4405,restroom,263.2244318181818,326.4832702020202
3414,room,354.1623475609756,352.8020833333333
3432,room,426.9763719512195,359.0708841463414
3924,room,448.8168191056911,359.666412601626
3420,room,383.5800304878049,356.4123475609756
3922,room,451.8025914634146,347.1582825203252
3426,room,405.8971036585366,362.0708841463414
3918,room,451.7253556910569,328.0586890243902
3515,room,352.9032012195122,274.4692581300813
3423,room,398.9763719512195,328.0546239837398
3920,room,451.885924796748,337.7416158536585
3425,room,422.2284044715447,326.57494918699183
3615,room,352.8025914634146,372.22470238095235
3603,room,318.0637703252032,370.9082825203252
4408,room,270.386047979798,363.23579545454544
3402,room,318.000762195122,351.9834857723577
3421,room,383.8198678861788,326.4997459349593
3203,room,352.9032012195122,245.57698170731706
3516,room,392.2466971544716,281.2375508130081
3916,room,451.7253556910569,316.7416158536585
2412,room,377.5536077235772,81.57088414634143
2911,room,410.1572662601626,82.30868902439022
2520,room,404.911331300813,107.06275406504062
2205,room,428.30397727272725,17.390445402298838
2203,room,405.55902777777777,17.39331896551721
2201,room,383.6524621212121,18.728089080459768
2411B,room,428.2243394308943,55.32088414634143
2411A,room,406.0779979674797,55.32088414634143
2411,room,385.3950711382114,55.32088414634143
2225,room,514.1420223577236,17.650152439024396
2223,room,493.8920223577236,18.083079268292636
2221,room,464.8127540650406,26.05868902439022
2906,room,451.7253556910569,55.32088414634143
2908,room,451.7253556910569,73.24974593495932
2910,room,451.7253556910569,82.22942073170731
2912,room,451.7253556910569,93.55462398373982
2914,room,451.7253556910569,108.49161585365852
3914,room,451.7253556910569,305.4753556910569
3912,room,451.7253556910569,295.33307926829264
3910,room,451.7253556910569,284.7497459349593
3908,room,451.7253556910569,273.38795731707313
2942,room,451.7253556910569,250.64202235772356
2940,room,451.7253556910569,234.6623475609756
3915,room,420.3300304878049,282.8097052845528
2938,room,451.7253556910569,221.916412601626
2934,room,451.7253556910569,196.49568089430892
2932,room,451.7253556910569,186.49161585365852
2922,room,451.7253556910569,166.55868902439022
2920,room,451.7253556910569,153.63795731707316
2918,room,451.7253556910569,138.4753556910569
2916,room,451.7253556910569,123.74568089430892
2936,room,451.7253556910569,206.89608739837396
4826,room,183.76498983739836,457.5221036585366
4824,room,179.52619949494948,431.6002155172414
4909,room,208.18276515151516,393.0943813131313
4911,room,208.526168699187,405.53125
4624,room,194.52367424242422,398.85452586206895
4825,room,181.94690040650406,395.1989329268293
4825A,room,173.3473069105691,395.1023882113821
4616,room,163.5335648148148,393.53356481481484
4823,room,163.2873475609756,404.11689814814815
4614,room,149.1890782828283,392.9479166666667
4828B,room,199.11160714285714,455.625762195122
4828A,room,210.6815025252525,455.7731199186992
3602A,room,300.125762195122,452.5149898373984
3602B,room,270.18781565656565,452.5149898373984
4636,room,273.8497023809524,400.6074695121951
4636A,room,272.5428240740741,426.1796239837398
4630,room,257.8645833333333,400.36689814814815
4910,room,247.36864837398372,428.76400862068965
4912A,room,244.35195707070707,446.8523882113821
4912,room,231.86864837398372,457.3747459349594
4828,room,203.76831896551724,432.1064532520325
4630A,room,236.18402777777777,400.510924796748
4819,room,149.536331300813,404.0180386178862
4623A,room,188.11864837398372,366.6878591954023
